par,ika,pred_prob_1719_gen2_high
1,21,2.03389645809902e-05
1,22,2.27551488609712e-05
1,23,2.54583584624243e-05
1,24,2.848268809067e-05
1,25,3.18662819754544e-05
1,26,3.56518147278722e-05
1,27,3.98870292668574e-05
1,28,4.46253385810461e-05
1,29,4.99264988920706e-05
1,30,5.58573626797803e-05
1,31,6.24927210294679e-05
1,32,6.9916245878138e-05
1,33,7.82215439847556e-05
1,34,8.75133358434131e-05
1,35,9.79087743152282e-05
1,36,0.000109538919493228
1,37,0.000122550388255195
1,38,0.000137107199125385
1,39,0.000153392835482686
1,40,0.000171612552848106
1,41,0.000191995958989729
1,42,0.000214799898932423
1,43,0.000240311680690358
1,44,0.000268852681694042
1,45,0.00030078238050517
1,46,0.000336502863551412
1,47,0.000376463862322778
1,48,0.000421168382809232
1,49,0.000471178995988093
1,50,0.000527124865955913
1,51,0.000589709600913716
1,52,0.000659720021730748
1,53,0.000738035953307483
1,54,0.000825641155512159
1,55,0.000923635523155555
1,56,0.00103324869837288
1,57,0.0011558552539711
1,58,0.00129299162283726
1,59,0.00144637496643649
1,60,0.00161792419478379
1,61,0.00180978337104783
1,62,0.00202434775609222
1,63,0.0022642927716785
1,64,0.00253260618556903
1,65,0.00283262384710314
1,66,0.00316806932757738
1,67,0.00354309784537793
1,68,0.00396234488052637
1,69,0.0044309799060826
1,70,0.00495476568335809
1,71,0.00554012358237975
1,72,0.00619420539627627
1,73,0.00692497211539527
1,74,0.00774128011044054
1,75,0.00865297513931142
1,76,0.00967099453416842
1,77,0.0108074778368711
1,78,0.0120758860242755
1,79,0.0134911292903004
1,80,0.0150697031177962
1,81,0.0168298320668277
1,82,0.0187916203118375
1,83,0.0209772074612849
1,84,0.0234109275711566
1,85,0.026119468498615
1,86,0.0291320278143015
1,87,0.0324804603831854
1,88,0.0361994114197107
1,89,0.040326427315451
1,90,0.0449020348295633
1,91,0.0499697773435164
1,92,0.0555761948545649
1,93,0.0617707322914745
1,94,0.0686055586960433
1,95,0.0761352779904882
1,96,0.0844165106688169
1,97,0.0935073251010103
1,98,0.103466497580791
1,99,0.114352582199789
1,100,0.12622277555197
1,101,0.139131567623969
1,102,0.153129179415201
