par,ika,pred_prob_0204_gen1_low
1,21,0.000310897736522854
1,22,0.000336282156942647
1,23,0.00036373843016094
1,24,0.000393435530712881
1,25,0.000425556192444943
1,26,0.000460298025210685
1,27,0.00049787472156725
1,28,0.000538517360619051
1,29,0.000582475816704168
1,30,0.000630020281207158
1,31,0.000681442906411292
1,32,0.00073705958097607
1,33,0.00079721184734433
1,34,0.000862268972149584
1,35,0.000932630181510521
1,36,0.00100872707396776
1,37,0.00109102622473985
1,38,0.0011800319959527
1,39,0.00127628956852996
1,40,0.00138038821252288
1,41,0.00149296481380585
1,42,0.00161470767626875
1,43,0.00174636061989735
1,44,0.0018887273964458
1,45,0.00204267644576693
1,46,0.00220914601727159
1,47,0.00238914968242901
1,48,0.00258378226568789
1,49,0.00279422622267863
1,50,0.00302175849603616
1,51,0.00326775788063931
1,52,0.00353371293147309
1,53,0.00382123044865482
1,54,0.00413204457538665
1,55,0.00446802654566399
1,56,0.0048311951194283
1,57,0.00522372774344327
1,58,0.00564797247642101
1,59,0.00610646071674621
1,60,0.00660192077043744
1,61,0.00713729229563194
1,62,0.00771574165774434
1,63,0.00834067822637541
1,64,0.00901577164085178
1,65,0.00974497006575484
1,66,0.0105325194507109
1,67,0.0113829837997963
1,68,0.0123012664448625
1,69,0.013292632303563
1,70,0.0143627310865047
1,71,0.0155176213983214
1,72,0.016763795654141
1,73,0.0181082057053981
1,74,0.0195582890367083
1,75,0.0211219953580339
1,76,0.0228078133730655
1,77,0.0246247974550693
1,78,0.0265825939048474
1,79,0.0286914664014569
1,80,0.0309623201844799
1,81,0.0334067244266651
1,82,0.0360369321675228
1,83,0.0388658970820759
1,84,0.0419072862548779
1,85,0.045175488018438
1,86,0.0486856137987011
1,87,0.0524534927901939
1,88,0.0564956581626036
1,89,0.0608293233825487
1,90,0.0654723471237877
1,91,0.0704431851419268
1,92,0.0757608274129307
1,93,0.0814447187868489
1,94,0.0875146613989535
1,95,0.0939906971210392
1,96,0.100892968438182
1,97,0.108241556313833
1,98,0.116056293872081
1,99,0.124356555093267
1,100,0.133161018199577
1,102,0.152352190275868
1,103,0.162770303863575
