par,ika,pred_prob_0204_gen2_high
1,21,3.98610172391629e-05
1,22,4.42761673793357e-05
1,23,4.9180331432671e-05
1,24,5.46276660580517e-05
1,25,6.06783242689483e-05
1,26,6.73991190567638e-05
1,27,7.48642603862634e-05
1,28,8.31561736585091e-05
1,29,9.23664086259877e-05
1,30,0.000102596648730646
1,31,0.000113959831928657
1,32,0.000126581395277261
1,33,0.000140600656901538
1,34,0.00015617235044606
1,35,0.000173468328763367
1,36,0.000192679455414353
1,37,0.000214017704573359
1,38,0.000237718492162532
1,39,0.000264043263507622
1,40,0.000293282365534119
1,41,0.000325758234534028
1,42,0.000361828933857054
1,43,0.000401892079545105
1,44,0.000446389195967572
1,45,0.000495810547960593
1,46,0.00055070050086221
1,47,0.000611663465204706
1,48,0.000679370488714591
1,49,0.0007545665647199
1,50,0.000838078733114623
1,51,0.000930825057721473
1,52,0.0010338245722659
1,53,0.00114820829626229
1,54,0.00127523143194872
1,55,0.00141628686401302
1,56,0.00157292009524374
1,57,0.00174684576341225
1,58,0.00193996589762637
1,59,0.0021543900860423
1,60,0.00239245774109912
1,61,0.00265676266322189
1,62,0.00295018011904245
1,63,0.0032758966653577
1,64,0.00363744296494018
1,65,0.00403872985447991
1,66,0.00448408793777826
1,67,0.00497831098807288
1,68,0.00552670345108014
1,69,0.00613513234378143
1,70,0.0068100838416358
1,71,0.00755872483689685
1,72,0.00838896973074848
1,73,0.00930955268925311
1,74,0.0103301055442553
1,75,0.011461241451366
1,76,0.012714644323194
1,77,0.0141031639314829
1,78,0.015640916410275
1,79,0.0173433896862327
1,80,0.0192275531034827
1,81,0.0213119701896181
1,82,0.0236169131169592
1,83,0.0261644769386108
1,84,0.0289786911122016
1,85,0.032085625156243
1,86,0.035513484507581
1,87,0.0392926917596078
1,88,0.0434559474612758
1,89,0.0480382635558836
1,90,0.0530769613563253
1,91,0.0586116247247996
1,92,0.0646839979033172
1,93,0.0713378163032613
1,94,0.0786185576116575
1,95,0.0865730999435203
1,96,0.0952492736313355
1,97,0.104695293793839
1,98,0.114959062292624
1,99,0.126087330307314
1,100,0.138124716773821
