par,ika,pred_prob_0204_gen1_mid
1,21,0.000238526730139981
1,22,0.000258899644001857
1,23,0.00028101214887511
1,24,0.000305012696874677
1,25,0.000331062393113329
1,26,0.000359336071389482
1,27,0.000390023460831664
1,28,0.000423330451102753
1,29,0.000459480464386982
1,30,0.000498715943050178
1,31,0.000541299962582091
1,32,0.000587517980202091
1,33,0.000637679730339363
1,34,0.000692121279089467
1,35,0.000751207250704038
1,36,0.000815333240193029
1,37,0.000884928427212542
1,38,0.000960458407579113
1,39,0.00104242825999637
1,40,0.0011313858669049
1,41,0.00122792550977305
1,42,0.00133269176063725
1,43,0.00144638369327523
1,44,0.0015697594390554
1,45,0.00170364111424765
1,46,0.00184892014740299
1,47,0.00200656303730656
1,48,0.00217761757397255
1,49,0.00236321955717112
1,50,0.00256460004904176
1,51,0.00278309319943701
1,52,0.00302014468473188
1,53,0.00327732080289768
1,54,0.00355631826963905
1,55,0.00385897476228295
1,56,0.00418728025983514
1,57,0.00454338922911486
1,58,0.00492963370806227
1,59,0.00534853733808951
1,60,0.00580283039759962
1,61,0.0062954658883922
1,62,0.00682963672545104
1,63,0.00740879407837733
1,64,0.0080366669092747
1,65,0.00871728274695383
1,66,0.00945498973060923
1,67,0.0102544799472926
1,68,0.0111208140761776
1,69,0.0120594473383424
1,70,0.0130762567330908
1,71,0.0141775695201424
1,72,0.0153701928807206
1,73,0.016661444658992
1,74,0.0180591850477116
1,75,0.0195718490375301
1,76,0.0212084793973803
1,77,0.0229787598928282
1,78,0.0248930483793822
1,79,0.0269624093276684
1,80,0.0291986452463382
1,81,0.0316143263659367
1,82,0.0342228178322986
1,83,0.0370383035311995
1,84,0.0400758055272478
1,85,0.0433511979501476
1,86,0.0468812140019879
1,87,0.0506834445925154
1,88,0.0547763269388554
1,89,0.0591791212966523
1,90,0.0639118738273878
1,91,0.0689953634597677
1,92,0.0744510304815686
1,93,0.080300884514343
1,94,0.0865673894912143
1,95,0.0932733232941161
1,96,0.1004416098296
1,97,0.108095121551565
1,98,0.11625645079547
1,99,0.124947648791909
1,100,0.134189931896164
1,102,0.15440645648146
1,103,0.165415868541271
