par,ika,pred_prob_1719_gen2_mid
1,21,3.25732049007763e-05
1,22,3.61753386029102e-05
1,23,4.0175801113487e-05
1,24,4.46186364345873e-05
1,25,4.9552757728657e-05
1,26,5.50324854113083e-05
1,27,6.11181446614733e-05
1,28,6.78767288988068e-05
1,29,7.53826364976858e-05
1,30,8.37184888050112e-05
1,31,9.29760384136943e-05
1,32,0.000103257177624503
1,33,0.000114675058116027
1,34,0.000127355334047203
1,35,0.000141437542151483
1,36,0.000157076633859917
1,37,0.000174444676127185
1,38,0.000193732739446213
1,39,0.000215152993541449
1,40,0.000238941033447728
1,41,0.000265358461132169
1,42,0.000294695750524033
1,43,0.000327275426806974
1,44,0.000363455594126831
1,45,0.000403633849505284
1,46,0.000448251624756677
1,47,0.000497799002615372
1,48,0.000552820058129671
1,49,0.000613918781702545
1,50,0.000681765645997964
1,51,0.00075710488532408
1,52,0.000840762563091138
1,53,0.000933655510562546
1,54,0.00103680122841032
1,55,0.00115132885158653
1,56,0.00127849128776071
1,57,0.00141967865007289
1,58,0.00157643311622467
1,59,0.00175046535797539
1,60,0.00194367269790446
1,61,0.00215815916379648
1,62,0.0023962576251215
1,63,0.0026605542106925
1,64,0.00295391522150542
1,65,0.00327951676775167
1,66,0.00364087737369943
1,67,0.00404189380811896
1,68,0.00448688041059318
1,69,0.00498061219465616
1,70,0.00552837201628492
1,71,0.00613600209963282
1,72,0.00680996020953949
1,73,0.00755738075043476
1,74,0.00838614105150378
1,75,0.0093049330656433
1,76,0.0103233406614901
1,77,0.0114519226196699
1,78,0.0127023013516932
1,79,0.0140872572371028
1,80,0.0156208283151636
1,81,0.0173184148642952
1,82,0.0191968881473685
1,83,0.0212747022848996
1,84,0.0235720078313733
1,85,0.0261107651623661
1,86,0.0289148552218777
1,87,0.0320101845212548
1,88,0.0354247805161333
1,89,0.0391888726120781
1,90,0.04333495306446
1,91,0.0478978109525748
1,92,0.0529145312417378
1,93,0.058424449733938
1,94,0.0644690534996908
1,95,0.0710918152556792
1,96,0.0783379492060962
1,97,0.0862540752320909
1,98,0.0948877781574443
1,99,0.104287049334971
1,100,0.114499599208817
1,101,0.125572032049494
1,102,0.137548877963993
