par,ika,pred_prob_1719_gen1_low
1,21,0.00019178973215573
1,22,0.000208648930113103
1,23,0.000226989792507392
1,24,0.000246942473124534
1,25,0.000268648547511509
1,26,0.000292262013223281
1,27,0.000317950377283324
1,28,0.000345895838391879
1,29,0.000376296572054031
1,30,0.000409368127489209
1,31,0.000445344945928613
1,32,0.000484482010711166
1,33,0.000527056640456026
1,34,0.000573370437524671
1,35,0.000623751404992397
1,36,0.000678556246432324
1,37,0.000738172863979
1,38,0.000803023071388171
1,39,0.000873565540148441
1,40,0.000950298998133877
1,41,0.00103376570181795
1,42,0.00112455520470229
1,43,0.00122330844635154
1,44,0.00133072218827026
1,45,0.0014475538248109
1,46,0.00157462659936289
1,47,0.00171283525824009
1,48,0.00186315217695385
1,49,0.00202663399592419
1,50,0.00220442880513333
1,51,0.00239778391974948
1,52,0.00260805429132603
1,53,0.00283671160178767
1,54,0.00308535409001874
1,55,0.0033557171634303
1,56,0.00364968484935146
1,57,0.00396930214340453
1,58,0.00431678831410775
1,59,0.00469455122471043
1,60,0.00510520273459142
1,61,0.00555157524330922
1,62,0.00603673944041972
1,63,0.00656402332328435
1,64,0.00713703254305344
1,65,0.00775967213555989
1,66,0.00843616968868875
1,67,0.00917109999053749
1,68,0.00996941119293308
1,69,0.0108364525121456
1,70,0.0117780034723869
1,71,0.0128003046772825
1,72,0.0139100900692592
1,73,0.0151146206059098
1,74,0.0164217192450242
1,75,0.0178398070851556
1,76,0.0193779404553096
1,77,0.0210458486845146
1,78,0.0228539722085306
1,79,0.024813500585639
1,80,0.0269364098952276
1,81,0.0292354988807158
1,82,0.0317244230714018
1,83,0.0344177259754685
1,84,0.0373308662784499
1,85,0.0404802398082769
1,86,0.0438831948406669
1,87,0.0475580391191084
1,88,0.0515240367552608
1,89,0.0558013929629529
1,90,0.0604112243686571
1,91,0.0653755124419692
1,92,0.0707170374123427
1,93,0.0764592898968575
1,94,0.0826263573748623
1,95,0.0892427826285129
1,96,0.0963333913460256
1,97,0.103923086281715
1,98,0.112036605710146
1,99,0.120698244427978
1,100,0.129931536272075
1,101,0.139758898058435
1,102,0.150201236019268
1,104,0.1730043101794
1,105,0.185395300461712
