par,ika,pred_prob_8789_gen2_high
1,21,6.4540786989557e-05
1,22,7.15798268168485e-05
1,23,7.93865075468636e-05
1,24,8.80445300659992e-05
1,25,9.76467184887205e-05
1,26,0.000108296013829335
1,27,0.000120106575730577
1,28,0.00013320500396038
1,29,0.000147731692648454
1,30,0.000163842331628069
1,31,0.000181709570789426
1,32,0.000201524865054082
1,33,0.000223500519461468
1,34,0.000247871955936359
1,35,0.000274900225599556
1,36,0.000304874793014066
1,37,0.000338116621548374
1,38,0.000374981592111485
1,39,0.000415864290897578
1,40,0.000461202205499402
1,41,0.000511480372838823
1,42,0.000567236526851725
1,43,0.000629066798785712
1,44,0.000697632028357
1,45,0.000773664749902515
1,46,0.000857976924089646
1,47,0.000951468492744285
1,48,0.00105513684196054
1,49,0.0011700872668933
1,50,0.00129754454053323
1,51,0.00143886569834115
1,52,0.00159555416088473
1,53,0.00176927532756962
1,54,0.00196187378616864
1,55,0.00217539229507917
1,56,0.00241209270800618
1,57,0.00267447902395986
1,58,0.00296532275890906
1,59,0.00328769084891758
1,60,0.00364497630780601
1,61,0.00404093187492571
1,62,0.00447970689998492
1,63,0.00496588772136523
1,64,0.00550454180116722
1,65,0.00610126588327374
1,66,0.00676223843870548
1,67,0.0074942766538514
1,68,0.00830489819980994
1,69,0.00920238799267867
1,70,0.0101958701122953
1,71,0.0112953849872196
1,72,0.0125119718725838
1,73,0.0138577565400592
1,74,0.0153460439600819
1,75,0.016991415579337
1,76,0.0188098305742428
1,77,0.0208187301859727
1,78,0.0230371439059831
1,79,0.0254857958742804
1,80,0.0281872093669887
1,81,0.0311658066769942
1,82,0.0344480010247966
1,83,0.0380622763720241
1,84,0.0420392501472929
1,85,0.0464117129391911
1,86,0.051214638178605
1,87,0.056485153748249
1,88,0.0622624663617481
1,89,0.0685877285070092
1,90,0.0755038368300708
1,91,0.0830551501526961
1,92,0.0912871150038127
1,93,0.10024578676346
1,94,0.109977235454997
1,95,0.12052682708122
1,96,0.131938374390949
1,97,0.144253155275953
1,101,0.203216184865496
1,102,0.220493968348784
