par,ika,pred_prob_0204_gen2_low
1,21,4.81915802543187e-05
1,22,5.33894614487265e-05
1,23,5.91479461891111e-05
1,24,6.55274893291936e-05
1,25,7.25950633918709e-05
1,26,8.04248608528376e-05
1,27,8.90990720071818e-05
1,28,9.87087465333925e-05
1,29,0.000109354747735776
1,30,0.000121148809404346
1,31,0.000134214706290214
1,32,0.000148689550364779
1,33,0.000164725226323779
1,34,0.000182489981225106
1,35,0.000202170184725594
1,36,0.000223972278121588
1,37,0.000248124932317151
1,38,0.000274881436959649
1,39,0.000304522345314166
1,40,0.00033735840201624
1,41,0.000373733783668811
1,42,0.000414029685357626
1,43,0.000458668289575103
1,44,0.000508117157792401
1,45,0.000562894089031726
1,46,0.000623572494295197
1,47,0.000690787340633719
1,48,0.000765241724020701
1,49,0.000847714136062748
1,50,0.00093906649596413
1,51,0.00104025302609358
1,52,0.00115233005700862
1,53,0.00127646685589747
1,54,0.00141395758111964
1,55,0.0015662344748722
1,56,0.00173488241597882
1,57,0.00192165496537369
1,58,0.00212849204799706
1,59,0.00235753942646892
1,60,0.0026111701339659
1,61,0.00289200804605608
1,62,0.00320295378365423
1,63,0.00354721315148976
1,64,0.00392832832819072
1,65,0.00435021203483971
1,66,0.00481718491808811
1,67,0.00533401639090931
1,68,0.00590596917793539
1,69,0.00653884781194359
1,70,0.00723905132206733
1,71,0.00801363034102671
1,72,0.00887034883607012
1,73,0.00981775063394333
1,74,0.0108652308611286
1,75,0.0120231123533613
1,76,0.0133027269989697
1,77,0.0147165018641832
1,78,0.0162780497998048
1,79,0.0180022640414356
1,80,0.0199054160829861
1,81,0.0220052558181176
1,82,0.024321112598725
1,83,0.0268739954456358
1,84,0.0296866901566871
1,85,0.0327838504845018
1,86,0.0361920798956551
1,87,0.0399399996725248
1,88,0.0440582982814838
1,89,0.0485797560152156
1,90,0.0535392379406269
1,91,0.0589736471765166
1,92,0.0649218295309569
1,93,0.0714244196093941
1,94,0.0785236177440084
1,95,0.0862628865998262
1,96,0.0946865562153139
1,97,0.103839326690627
1,98,0.1137656589212
1,99,0.124509045875097
1,100,0.136111160113664
