par,ika,pred_prob_1719_gen1_mid
1,21,0.000119785522451367
1,22,0.000131124811678208
1,23,0.000143537361006677
1,24,0.000157124723608563
1,25,0.000171998055681786
1,26,0.000188279023326304
1,27,0.000206100794823951
1,28,0.000225609126317746
1,29,0.000246963549625352
1,30,0.000270338671726963
1,31,0.000295925596345549
1,32,0.000323933478993072
1,33,0.000354591227896411
1,34,0.000388149364348086
1,35,0.000424882057256674
1,36,0.000465089348007674
1,37,0.000509099583195518
1,38,0.000557272074359795
1,39,0.000610000005562232
1,40,0.00066771361148453
1,41,0.000730883650719825
1,42,0.000800025201081572
1,43,0.000875701806072051
1,44,0.000958530004147252
1,45,0.00104918427509391
1,46,0.00114840244070526
1,47,0.00125699156001101
1,48,0.00137583436258825
1,49,0.00150589626695636
1,50,0.00164823303473866
1,51,0.00180399911515301
1,52,0.00197445673846234
1,53,0.00216098582125835
1,54,0.00236509475084459
1,55,0.00258843212049402
1,56,0.00283279949193765
1,57,0.00310016526603367
1,58,0.00339267974709517
1,59,0.00371269149071935
1,60,0.00406276502903961
1,61,0.0044457000709593
1,62,0.00486455227793169
1,63,0.00532265571799261
1,64,0.00582364710174568
1,65,0.0063714919035026
1,66,0.00697051246838176
1,67,0.00762541820137508
1,68,0.00834133792662313
1,69,0.00912385449370585
1,70,0.0099790416918529
1,71,0.0109135035116688
1,72,0.0119344157661679
1,73,0.0130495700473795
1,74,0.0142674199501041
1,75,0.0155971294389786
1,76,0.0170486231670793
1,77,0.0186326384719012
1,78,0.0203607786756006
1,79,0.0222455671986479
1,80,0.024300501857206
1,81,0.0265401085523393
1,82,0.0289799933714065
1,83,0.0316368919068109
1,84,0.0345287143532923
1,85,0.0376745846715239
1,86,0.0410948718034084
1,87,0.0448112105951867
1,88,0.0488465097323329
1,89,0.0532249436219316
1,90,0.0579719247838153
1,91,0.0631140529452447
1,92,0.0686790366941562
1,93,0.074695583257299
1,94,0.0811932517622951
1,95,0.088202265253561
1,96,0.0957532768041763
1,97,0.103877085347951
1,98,0.11260429740106
1,99,0.12196493170536
1,100,0.131987965058576
1,101,0.142700819245459
1,102,0.154128791080667
1,104,0.179216871658799
1,105,0.192911135762467
