par,ika,pred_prob_1719_gen1_high
1,21,7.94568774438604e-05
1,22,8.75163483339539e-05
1,23,9.63932287597741e-05
1,24,0.000106170405424407
1,25,0.000116939166301919
1,26,0.000128800051414368
1,27,0.00014186378960233
1,28,0.00015625232994616
1,29,0.000172099977359362
1,30,0.000189554642824223
1,31,0.000208779219781357
1,32,0.000229953099327412
1,33,0.00025327383812854
1,34,0.000278958994331145
1,35,0.000307248148256918
1,36,0.000338405126317947
1,37,0.00037272044839214
1,38,0.000410514020872872
1,39,0.000452138099763703
1,40,0.000497980550544369
1,41,0.000548468434103794
1,42,0.000604071950836067
1,43,0.000665308778043381
1,44,0.000732748839103213
1,45,0.000807019546453335
1,46,0.00088881156434508
1,47,0.000978885141529681
1,48,0.00107807706859048
1,49,0.00118730831952948
1,50,0.00130759244247189
1,51,0.00144004476997462
1,52,0.00158589252541787
1,53,0.00174648590831779
1,54,0.00192331024811215
1,55,0.00211799932301481
1,56,0.00233234994787073
1,57,0.00256833794251632
1,58,0.00282813559987956
1,59,0.00311413078083553
1,60,0.00342894777052354
1,61,0.00377547003824853
1,62,0.00415686504999735
1,63,0.00457661128870177
1,64,0.00503852764230313
1,65,0.00554680532295525
1,66,0.00610604248177452
1,67,0.0067212816817126
1,68,0.0073980503855447
1,69,0.00814240460561731
1,70,0.00896097584566665
1,71,0.00986102144125575
1,72,0.0108504783724774
1,73,0.0119380205785344
1,74,0.0131331197463172
1,75,0.0144461094714904
1,76,0.0158882525978383
1,77,0.0174718114253089
1,78,0.0192101203355713
1,79,0.02111766021188
1,80,0.0232101338233001
1,81,0.0255045410974341
1,82,0.0280192529163493
1,83,0.0307740817334052
1,84,0.0337903469208621
1,85,0.0370909323175039
1,86,0.0407003329519515
1,87,0.0446446873736123
1,88,0.0489517914358557
1,89,0.0536510887566911
1,90,0.0587736324491395
1,91,0.0643520120929186
1,92,0.0704202393470666
1,93,0.0770135851270119
1,94,0.0841683609492412
1,95,0.0919216369551468
1,96,0.100310889348687
1,97,0.109373570616971
1,98,0.119146597052712
1,99,0.129665749867191
1,100,0.140964988667602
1,101,0.153075679347265
1,102,0.166025742537012
1,103,0.179838733670184
1,104,0.194532871324348
1,105,0.210120036626797
