"","type","year","educ","age","from_to","probability","count_from_to","count_from"
"1","empirical","2018","low",65,"partnered_dead",0.0118622029074748,146,12308
"2","empirical","2018","low",65,"partnered_partnered",0.975138122393923,12002,12308
"3","empirical","2018","low",65,"partnered_unpartnered",0.00763730884042899,94,12308
"4","empirical","2018","low",65,"partnered_widowed",0.00536236585817355,66,12308
"5","empirical","2018","low",65,"unpartnered_dead",0.0296067869474172,192,6485
"6","empirical","2018","low",65,"unpartnered_partnered",0.00786430225165767,51,6485
"7","empirical","2018","low",65,"unpartnered_unpartnered",0.962528910800925,6242,6485
"8","empirical","2018","low",65,"widowed_dead",0.0273109248088235,13,476
"9","empirical","2018","low",65,"widowed_partnered",0.0147058818970588,7,476
"10","empirical","2018","low",65,"widowed_widowed",0.957983193294118,456,476
"11","empirical","2018","low",66,"partnered_dead",0.0116417031559988,157,13486
"12","empirical","2018","low",66,"partnered_partnered",0.976642443087009,13171,13486
"13","empirical","2018","low",66,"partnered_unpartnered",0.00556132297452173,75,13486
"14","empirical","2018","low",66,"partnered_widowed",0.00615453078247071,83,13486
"15","empirical","2018","low",66,"unpartnered_dead",0.0367438374561912,246,6695
"16","empirical","2018","low",66,"unpartnered_partnered",0.00911127666515311,61,6695
"17","empirical","2018","low",66,"unpartnered_unpartnered",0.954144885878656,6388,6695
"18","empirical","2018","low",66,"widowed_dead",0.0364842449270315,22,603
"19","empirical","2018","low",66,"widowed_partnered",0.019900496960199,12,603
"20","empirical","2018","low",66,"widowed_widowed",0.943615258112769,569,603
"21","empirical","2018","low",67,"partnered_dead",0.0153635119677366,224,14580
"22","empirical","2018","low",67,"partnered_partnered",0.971124827960638,14159,14580
"23","empirical","2018","low",67,"partnered_unpartnered",0.00733882048458848,107,14580
"24","empirical","2018","low",67,"partnered_widowed",0.00617283958703704,90,14580
"25","empirical","2018","low",67,"unpartnered_dead",0.032751091,225,6870
"26","empirical","2018","low",67,"unpartnered_partnered",0.010189229,70,6870
"27","empirical","2018","low",67,"unpartnered_unpartnered",0.95705968,6575,6870
"28","empirical","2018","low",67,"widowed_dead",0.0283286122832861,20,706
"29","empirical","2018","low",67,"widowed_partnered",0.0198300281983003,14,706
"30","empirical","2018","low",67,"widowed_widowed",0.951841359518414,672,706
"31","empirical","2018","low",68,"partnered_dead",0.0172097444818728,272,15805
"32","empirical","2018","low",68,"partnered_partnered",0.968744067124834,15311,15805
"33","empirical","2018","low",68,"partnered_unpartnered",0.00670673858778868,106,15805
"34","empirical","2018","low",68,"partnered_widowed",0.00733944980550459,116,15805
"35","empirical","2018","low",68,"unpartnered_dead",0.0374912888473031,269,7175
"36","empirical","2018","low",68,"unpartnered_partnered",0.00738675956694077,53,7175
"37","empirical","2018","low",68,"unpartnered_unpartnered",0.955121951585756,6853,7175
"38","empirical","2018","low",68,"widowed_dead",0.03794642846875,34,896
"39","empirical","2018","low",68,"widowed_partnered",0.018973214734375,17,896
"40","empirical","2018","low",68,"widowed_widowed",0.943080356796875,845,896
