ika,from,educ,n
21,parmar,high,9
22,parmar,high,63
23,parmar,high,582
24,parmar,high,1637
25,parmar,high,2851
26,parmar,high,3920
27,parmar,high,4806
28,parmar,high,5716
29,parmar,high,6571
30,parmar,high,7146
31,parmar,high,7501
32,parmar,high,7924
33,parmar,high,8402
34,parmar,high,9139
35,parmar,high,9601
36,parmar,high,10136
37,parmar,high,10082
38,parmar,high,10025
39,parmar,high,10222
40,parmar,high,10468
41,parmar,high,10806
42,parmar,high,10853
43,parmar,high,10785
44,parmar,high,10104
45,parmar,high,9066
46,parmar,high,9381
47,parmar,high,9362
48,parmar,high,9355
49,parmar,high,9479
50,parmar,high,9929
51,parmar,high,9908
52,parmar,high,9647
53,parmar,high,9688
54,parmar,high,9638
55,parmar,high,9788
56,parmar,high,9379
57,parmar,high,9139
58,parmar,high,8927
59,parmar,high,8780
60,parmar,high,8537
61,parmar,high,8747
62,parmar,high,8931
63,parmar,high,8833
64,parmar,high,8545
65,parmar,high,8363
66,parmar,high,8432
67,parmar,high,7873
68,parmar,high,7970
69,parmar,high,8185
70,parmar,high,8241
71,parmar,high,8250
72,parmar,high,7931
73,parmar,high,6960
74,parmar,high,5478
75,parmar,high,5083
76,parmar,high,3963
77,parmar,high,5087
78,parmar,high,3197
79,parmar,high,3380
80,parmar,high,2882
81,parmar,high,2536
82,parmar,high,2193
83,parmar,high,1841
84,parmar,high,1533
85,parmar,high,1254
86,parmar,high,1052
87,parmar,high,923
88,parmar,high,700
89,parmar,high,558
90,parmar,high,405
91,parmar,high,284
92,parmar,high,203
93,parmar,high,146
94,parmar,high,90
95,parmar,high,56
96,parmar,high,25
97,parmar,high,15
98,parmar,high,7
99,parmar,high,5
100,parmar,high,0
102,parmar,high,0
103,parmar,high,0
21,parmar,mid,4747
22,parmar,mid,6176
23,parmar,mid,7318
24,parmar,mid,7865
25,parmar,mid,8167
26,parmar,mid,9266
27,parmar,mid,9312
28,parmar,mid,10024
29,parmar,mid,9856
30,parmar,mid,10072
31,parmar,mid,9962
32,parmar,mid,10423
33,parmar,mid,11010
34,parmar,mid,11492
35,parmar,mid,11665
36,parmar,mid,11597
37,parmar,mid,11017
38,parmar,mid,11307
39,parmar,mid,11027
40,parmar,mid,11191
41,parmar,mid,11175
42,parmar,mid,11435
43,parmar,mid,11120
44,parmar,mid,10296
45,parmar,mid,9187
46,parmar,mid,9318
47,parmar,mid,9542
48,parmar,mid,9909
49,parmar,mid,10289
50,parmar,mid,11065
51,parmar,mid,11679
52,parmar,mid,11809
53,parmar,mid,11857
54,parmar,mid,12194
55,parmar,mid,12108
56,parmar,mid,12451
57,parmar,mid,12168
58,parmar,mid,11824
59,parmar,mid,11396
60,parmar,mid,10695
61,parmar,mid,10884
62,parmar,mid,11316
63,parmar,mid,10913
64,parmar,mid,10500
65,parmar,mid,10349
66,parmar,mid,10358
67,parmar,mid,9640
68,parmar,mid,9580
69,parmar,mid,9322
70,parmar,mid,8973
71,parmar,mid,8510
72,parmar,mid,7778
73,parmar,mid,6453
74,parmar,mid,4787
75,parmar,mid,4204
76,parmar,mid,3154
77,parmar,mid,4351
78,parmar,mid,2820
79,parmar,mid,2798
80,parmar,mid,2560
81,parmar,mid,2042
82,parmar,mid,1686
83,parmar,mid,1518
84,parmar,mid,1153
85,parmar,mid,918
86,parmar,mid,753
87,parmar,mid,695
88,parmar,mid,502
89,parmar,mid,373
90,parmar,mid,278
91,parmar,mid,172
92,parmar,mid,128
93,parmar,mid,76
94,parmar,mid,52
95,parmar,mid,25
96,parmar,mid,19
97,parmar,mid,10
98,parmar,mid,0
99,parmar,mid,5
100,parmar,mid,0
102,parmar,mid,0
21,parmar,low,808
22,parmar,low,978
23,parmar,low,1179
24,parmar,low,1339
25,parmar,low,1554
26,parmar,low,1753
27,parmar,low,2138
28,parmar,low,2362
29,parmar,low,2497
30,parmar,low,2750
31,parmar,low,2763
32,parmar,low,2991
33,parmar,low,3040
34,parmar,low,3371
35,parmar,low,3462
36,parmar,low,3535
37,parmar,low,3286
38,parmar,low,3327
39,parmar,low,3160
40,parmar,low,3046
41,parmar,low,2904
42,parmar,low,2767
43,parmar,low,2741
44,parmar,low,2801
45,parmar,low,2856
46,parmar,low,3074
47,parmar,low,3128
48,parmar,low,3225
49,parmar,low,3101
50,parmar,low,3419
51,parmar,low,3460
52,parmar,low,3475
53,parmar,low,3445
54,parmar,low,3528
55,parmar,low,3608
56,parmar,low,3417
57,parmar,low,3468
58,parmar,low,3770
59,parmar,low,4292
60,parmar,low,4292
61,parmar,low,4861
62,parmar,low,4896
63,parmar,low,4986
64,parmar,low,5326
65,parmar,low,5683
66,parmar,low,6507
67,parmar,low,6889
68,parmar,low,7531
69,parmar,low,8057
70,parmar,low,8719
71,parmar,low,8819
72,parmar,low,8722
73,parmar,low,8128
74,parmar,low,6399
75,parmar,low,6243
76,parmar,low,4840
77,parmar,low,7256
78,parmar,low,5206
79,parmar,low,5983
80,parmar,low,5698
81,parmar,low,5038
82,parmar,low,4437
83,parmar,low,4199
84,parmar,low,3665
85,parmar,low,3036
86,parmar,low,2823
87,parmar,low,2459
88,parmar,low,1999
89,parmar,low,1484
90,parmar,low,1175
91,parmar,low,800
92,parmar,low,572
93,parmar,low,342
94,parmar,low,250
95,parmar,low,132
96,parmar,low,73
97,parmar,low,50
98,parmar,low,25
99,parmar,low,14
100,parmar,low,0
101,parmar,low,5
102,parmar,low,0
104,parmar,low,0
