ika,from,educ,n
21,parmar,high,982
22,parmar,high,1949
23,parmar,high,3079
24,parmar,high,4401
25,parmar,high,5984
26,parmar,high,6998
27,parmar,high,8053
28,parmar,high,8878
29,parmar,high,9367
30,parmar,high,9288
31,parmar,high,9807
32,parmar,high,10107
33,parmar,high,9825
34,parmar,high,9798
35,parmar,high,9285
36,parmar,high,8949
37,parmar,high,8592
38,parmar,high,8394
39,parmar,high,8517
40,parmar,high,8696
41,parmar,high,8568
42,parmar,high,8372
43,parmar,high,7304
44,parmar,high,5849
45,parmar,high,5522
46,parmar,high,4351
47,parmar,high,5567
48,parmar,high,3522
49,parmar,high,3967
50,parmar,high,3363
51,parmar,high,2944
52,parmar,high,2717
53,parmar,high,2394
54,parmar,high,2127
55,parmar,high,1992
56,parmar,high,2067
57,parmar,high,1946
58,parmar,high,1814
59,parmar,high,1686
60,parmar,high,1419
61,parmar,high,1233
62,parmar,high,1183
63,parmar,high,1111
64,parmar,high,1033
65,parmar,high,936
66,parmar,high,768
67,parmar,high,750
68,parmar,high,668
69,parmar,high,506
70,parmar,high,482
71,parmar,high,438
72,parmar,high,413
73,parmar,high,363
74,parmar,high,303
75,parmar,high,278
76,parmar,high,302
77,parmar,high,251
78,parmar,high,208
79,parmar,high,187
80,parmar,high,163
81,parmar,high,116
82,parmar,high,90
83,parmar,high,89
84,parmar,high,46
85,parmar,high,41
86,parmar,high,25
87,parmar,high,20
88,parmar,high,14
89,parmar,high,6
90,parmar,high,0
91,parmar,high,0
92,parmar,high,0
93,parmar,high,0
21,parmar,mid,7516
22,parmar,mid,9609
23,parmar,mid,11072
24,parmar,mid,12575
25,parmar,mid,13523
26,parmar,mid,13746
27,parmar,mid,13833
28,parmar,mid,13846
29,parmar,mid,13406
30,parmar,mid,12867
31,parmar,mid,13286
32,parmar,mid,13599
33,parmar,mid,13545
34,parmar,mid,13617
35,parmar,mid,13321
36,parmar,mid,13632
37,parmar,mid,12741
38,parmar,mid,12909
39,parmar,mid,12824
40,parmar,mid,12522
41,parmar,mid,12109
42,parmar,mid,11376
43,parmar,mid,9827
44,parmar,mid,7696
45,parmar,mid,7038
46,parmar,mid,5486
47,parmar,mid,7758
48,parmar,mid,5420
49,parmar,mid,6143
50,parmar,mid,5623
51,parmar,mid,4986
52,parmar,mid,4509
53,parmar,mid,4208
54,parmar,mid,3846
55,parmar,mid,3371
56,parmar,mid,3404
57,parmar,mid,3246
58,parmar,mid,3209
59,parmar,mid,2888
60,parmar,mid,2725
61,parmar,mid,2517
62,parmar,mid,2169
63,parmar,mid,2143
64,parmar,mid,1926
65,parmar,mid,1885
66,parmar,mid,1721
67,parmar,mid,1580
68,parmar,mid,1447
69,parmar,mid,1029
70,parmar,mid,1077
71,parmar,mid,914
72,parmar,mid,761
73,parmar,mid,756
74,parmar,mid,597
75,parmar,mid,584
76,parmar,mid,492
77,parmar,mid,389
78,parmar,mid,314
79,parmar,mid,271
80,parmar,mid,211
81,parmar,mid,153
82,parmar,mid,133
83,parmar,mid,77
84,parmar,mid,66
85,parmar,mid,32
86,parmar,mid,28
87,parmar,mid,22
88,parmar,mid,18
89,parmar,mid,9
90,parmar,mid,0
91,parmar,mid,0
92,parmar,mid,0
21,parmar,low,3077
22,parmar,low,3382
23,parmar,low,3492
24,parmar,low,3714
25,parmar,low,3817
26,parmar,low,3823
27,parmar,low,4187
28,parmar,low,4803
29,parmar,low,5502
30,parmar,low,5860
31,parmar,low,6770
32,parmar,low,7528
33,parmar,low,8023
34,parmar,low,8764
35,parmar,low,9104
36,parmar,low,10461
37,parmar,low,10839
38,parmar,low,12210
39,parmar,low,13081
40,parmar,low,14273
41,parmar,low,14824
42,parmar,low,15035
43,parmar,low,13893
44,parmar,low,11617
45,parmar,low,11319
46,parmar,low,9347
47,parmar,low,14525
48,parmar,low,10995
49,parmar,low,13375
50,parmar,low,13415
51,parmar,low,12876
52,parmar,low,12664
53,parmar,low,13290
54,parmar,low,13054
55,parmar,low,12323
56,parmar,low,13237
57,parmar,low,13623
58,parmar,low,14636
59,parmar,low,14419
60,parmar,low,14114
61,parmar,low,13357
62,parmar,low,13324
63,parmar,low,12839
64,parmar,low,12182
65,parmar,low,12103
66,parmar,low,11016
67,parmar,low,10574
68,parmar,low,10141
69,parmar,low,6859
70,parmar,low,7530
71,parmar,low,6998
72,parmar,low,6218
73,parmar,low,5625
74,parmar,low,5427
75,parmar,low,4745
76,parmar,low,4476
77,parmar,low,3764
78,parmar,low,3159
79,parmar,low,2655
80,parmar,low,2155
81,parmar,low,1631
82,parmar,low,1324
83,parmar,low,871
84,parmar,low,752
85,parmar,low,489
86,parmar,low,366
87,parmar,low,268
88,parmar,low,158
89,parmar,low,106
90,parmar,low,68
91,parmar,low,41
92,parmar,low,24
93,parmar,low,12
94,parmar,low,10
95,parmar,low,0
96,parmar,low,0
97,parmar,low,0
101,parmar,low,0
