ika,from,educ,n
21,parmar,high,23
22,parmar,high,511
23,parmar,high,1967
24,parmar,high,4170
25,parmar,high,6465
26,parmar,high,8758
27,parmar,high,10176
28,parmar,high,11040
29,parmar,high,11149
30,parmar,high,10487
31,parmar,high,11205
32,parmar,high,11875
33,parmar,high,12172
34,parmar,high,12478
35,parmar,high,13475
36,parmar,high,13621
37,parmar,high,13465
38,parmar,high,13097
39,parmar,high,13213
40,parmar,high,13277
41,parmar,high,12610
42,parmar,high,12409
43,parmar,high,12134
44,parmar,high,11767
45,parmar,high,11054
46,parmar,high,11292
47,parmar,high,11159
48,parmar,high,10702
49,parmar,high,10308
50,parmar,high,9746
51,parmar,high,9209
52,parmar,high,8628
53,parmar,high,8378
54,parmar,high,8462
55,parmar,high,8356
56,parmar,high,8098
57,parmar,high,7855
58,parmar,high,6753
59,parmar,high,5301
60,parmar,high,4917
61,parmar,high,3829
62,parmar,high,4832
63,parmar,high,3042
64,parmar,high,3414
65,parmar,high,2798
66,parmar,high,2447
67,parmar,high,2193
68,parmar,high,1905
69,parmar,high,1652
70,parmar,high,1477
71,parmar,high,1489
72,parmar,high,1348
73,parmar,high,1241
74,parmar,high,1067
75,parmar,high,882
76,parmar,high,723
77,parmar,high,668
78,parmar,high,569
79,parmar,high,462
80,parmar,high,399
81,parmar,high,315
82,parmar,high,237
83,parmar,high,205
84,parmar,high,117
85,parmar,high,90
86,parmar,high,87
87,parmar,high,45
88,parmar,high,41
89,parmar,high,24
90,parmar,high,18
91,parmar,high,7
92,parmar,high,10
93,parmar,high,9
94,parmar,high,0
95,parmar,high,0
96,parmar,high,0
97,parmar,high,0
21,parmar,mid,9362
22,parmar,mid,10428
23,parmar,mid,10661
24,parmar,mid,10653
25,parmar,mid,9827
26,parmar,mid,9376
27,parmar,mid,9242
28,parmar,mid,8657
29,parmar,mid,8330
30,parmar,mid,7361
31,parmar,mid,7513
32,parmar,mid,8069
33,parmar,mid,8358
34,parmar,mid,8818
35,parmar,mid,9858
36,parmar,mid,10433
37,parmar,mid,10749
38,parmar,mid,11095
39,parmar,mid,11607
40,parmar,mid,11965
41,parmar,mid,12096
42,parmar,mid,12086
43,parmar,mid,12052
44,parmar,mid,11803
45,parmar,mid,11195
46,parmar,mid,11636
47,parmar,mid,12020
48,parmar,mid,11907
49,parmar,mid,12140
50,parmar,mid,11904
51,parmar,mid,12280
52,parmar,mid,11491
53,parmar,mid,11676
54,parmar,mid,11526
55,parmar,mid,11165
56,parmar,mid,10801
57,parmar,mid,10066
58,parmar,mid,8654
59,parmar,mid,6659
60,parmar,mid,6079
61,parmar,mid,4713
62,parmar,mid,6595
63,parmar,mid,4546
64,parmar,mid,5058
65,parmar,mid,4543
66,parmar,mid,3908
67,parmar,mid,3480
68,parmar,mid,3154
69,parmar,mid,2772
70,parmar,mid,2303
71,parmar,mid,2275
72,parmar,mid,2102
73,parmar,mid,1965
74,parmar,mid,1697
75,parmar,mid,1530
76,parmar,mid,1283
77,parmar,mid,1059
78,parmar,mid,947
79,parmar,mid,779
80,parmar,mid,676
81,parmar,mid,548
82,parmar,mid,426
83,parmar,mid,296
84,parmar,mid,208
85,parmar,mid,163
86,parmar,mid,127
87,parmar,mid,73
88,parmar,mid,65
89,parmar,mid,39
90,parmar,mid,33
91,parmar,mid,18
92,parmar,mid,8
93,parmar,mid,6
94,parmar,mid,0
95,parmar,mid,0
96,parmar,mid,0
21,parmar,low,2249
22,parmar,low,2144
23,parmar,low,2030
24,parmar,low,1954
25,parmar,low,2012
26,parmar,low,2103
27,parmar,low,2185
28,parmar,low,2269
29,parmar,low,2272
30,parmar,low,2244
31,parmar,low,2606
32,parmar,low,2707
33,parmar,low,2966
34,parmar,low,2850
35,parmar,low,2959
36,parmar,low,2837
37,parmar,low,2908
38,parmar,low,2955
39,parmar,low,2945
40,parmar,low,3008
41,parmar,low,2882
42,parmar,low,3105
43,parmar,low,3473
44,parmar,low,3922
45,parmar,low,4175
46,parmar,low,4841
47,parmar,low,5325
48,parmar,low,5820
49,parmar,low,6372
50,parmar,low,6638
51,parmar,low,7836
52,parmar,low,8083
53,parmar,low,9167
54,parmar,low,9907
55,parmar,low,10993
56,parmar,low,11642
57,parmar,low,11801
58,parmar,low,10844
59,parmar,low,9173
60,parmar,low,8907
61,parmar,low,7328
62,parmar,low,11325
63,parmar,low,8512
64,parmar,low,10252
65,parmar,low,10095
66,parmar,low,9520
67,parmar,low,9164
68,parmar,low,9315
69,parmar,low,8878
70,parmar,low,8194
71,parmar,low,8288
72,parmar,low,8238
73,parmar,low,8397
74,parmar,low,7730
75,parmar,low,6998
76,parmar,low,6137
77,parmar,low,5468
78,parmar,low,4886
79,parmar,low,4190
80,parmar,low,3707
81,parmar,low,2900
82,parmar,low,2442
83,parmar,low,1951
84,parmar,low,1109
85,parmar,low,1032
86,parmar,low,819
87,parmar,low,556
88,parmar,low,406
89,parmar,low,290
90,parmar,low,202
91,parmar,low,157
92,parmar,low,94
93,parmar,low,43
94,parmar,low,30
95,parmar,low,12
96,parmar,low,7
97,parmar,low,0
99,parmar,low,0
