ika,from,educ,n
21,parmar,high,0
22,parmar,high,27
23,parmar,high,229
24,parmar,high,1099
25,parmar,high,2754
26,parmar,high,4320
27,parmar,high,5605
28,parmar,high,6655
29,parmar,high,6921
30,parmar,high,6741
31,parmar,high,7587
32,parmar,high,7994
33,parmar,high,8352
34,parmar,high,8707
35,parmar,high,9407
36,parmar,high,9680
37,parmar,high,9561
38,parmar,high,9619
39,parmar,high,9800
40,parmar,high,10010
41,parmar,high,9665
42,parmar,high,9476
43,parmar,high,9323
44,parmar,high,9280
45,parmar,high,9042
46,parmar,high,9329
47,parmar,high,9494
48,parmar,high,9478
49,parmar,high,9331
50,parmar,high,9224
51,parmar,high,9271
52,parmar,high,8701
53,parmar,high,8903
54,parmar,high,9280
55,parmar,high,9531
56,parmar,high,9638
57,parmar,high,9560
58,parmar,high,8592
59,parmar,high,6855
60,parmar,high,6545
61,parmar,high,5096
62,parmar,high,6810
63,parmar,high,4455
64,parmar,high,4893
65,parmar,high,4375
66,parmar,high,4012
67,parmar,high,3726
68,parmar,high,3436
69,parmar,high,3024
70,parmar,high,2790
71,parmar,high,2679
72,parmar,high,2551
73,parmar,high,2310
74,parmar,high,2144
75,parmar,high,2056
76,parmar,high,1615
77,parmar,high,1553
78,parmar,high,1366
79,parmar,high,1228
80,parmar,high,972
81,parmar,high,839
82,parmar,high,731
83,parmar,high,626
84,parmar,high,451
85,parmar,high,441
86,parmar,high,333
87,parmar,high,247
88,parmar,high,180
89,parmar,high,142
90,parmar,high,102
91,parmar,high,91
92,parmar,high,71
93,parmar,high,27
94,parmar,high,24
95,parmar,high,11
96,parmar,high,8
97,parmar,high,0
98,parmar,high,0
21,parmar,mid,5151
22,parmar,mid,6753
23,parmar,mid,8303
24,parmar,mid,9181
25,parmar,mid,9605
26,parmar,mid,9825
27,parmar,mid,10336
28,parmar,mid,10152
29,parmar,mid,9574
30,parmar,mid,8736
31,parmar,mid,8953
32,parmar,mid,9201
33,parmar,mid,9750
34,parmar,mid,10477
35,parmar,mid,11435
36,parmar,mid,12061
37,parmar,mid,12410
38,parmar,mid,12549
39,parmar,mid,13000
40,parmar,mid,13070
41,parmar,mid,13261
42,parmar,mid,13212
43,parmar,mid,12766
44,parmar,mid,12271
45,parmar,mid,11652
46,parmar,mid,11876
47,parmar,mid,12519
48,parmar,mid,12162
49,parmar,mid,11870
50,parmar,mid,11760
51,parmar,mid,12076
52,parmar,mid,11384
53,parmar,mid,11485
54,parmar,mid,11295
55,parmar,mid,11062
56,parmar,mid,10579
57,parmar,mid,10004
58,parmar,mid,8415
59,parmar,mid,6534
60,parmar,mid,5948
61,parmar,mid,4508
62,parmar,mid,6471
63,parmar,mid,4341
64,parmar,mid,4626
65,parmar,mid,4364
66,parmar,mid,3694
67,parmar,mid,3333
68,parmar,mid,3141
69,parmar,mid,2699
70,parmar,mid,2340
71,parmar,mid,2262
72,parmar,mid,2280
73,parmar,mid,1993
74,parmar,mid,1808
75,parmar,mid,1595
76,parmar,mid,1377
77,parmar,mid,1103
78,parmar,mid,973
79,parmar,mid,946
80,parmar,mid,786
81,parmar,mid,644
82,parmar,mid,520
83,parmar,mid,468
84,parmar,mid,293
85,parmar,mid,275
86,parmar,mid,204
87,parmar,mid,169
88,parmar,mid,136
89,parmar,mid,87
90,parmar,mid,66
91,parmar,mid,57
92,parmar,mid,27
93,parmar,mid,23
94,parmar,mid,13
95,parmar,mid,5
96,parmar,mid,0
97,parmar,mid,0
98,parmar,mid,0
99,parmar,mid,0
21,parmar,low,1733
22,parmar,low,1924
23,parmar,low,2097
24,parmar,low,2257
25,parmar,low,2230
26,parmar,low,2401
27,parmar,low,2618
28,parmar,low,2539
29,parmar,low,2854
30,parmar,low,3083
31,parmar,low,3406
32,parmar,low,3518
33,parmar,low,3795
34,parmar,low,3762
35,parmar,low,4104
36,parmar,low,4240
37,parmar,low,4226
38,parmar,low,4212
39,parmar,low,4369
40,parmar,low,4520
41,parmar,low,4255
42,parmar,low,4327
43,parmar,low,4719
44,parmar,low,5361
45,parmar,low,5388
46,parmar,low,5952
47,parmar,low,6166
48,parmar,low,6240
49,parmar,low,6635
50,parmar,low,7053
51,parmar,low,8054
52,parmar,low,8527
53,parmar,low,9452
54,parmar,low,10473
55,parmar,low,11334
56,parmar,low,11801
57,parmar,low,11865
58,parmar,low,11272
59,parmar,low,9220
60,parmar,low,9077
61,parmar,low,7425
62,parmar,low,11382
63,parmar,low,8574
64,parmar,low,10278
65,parmar,low,10368
66,parmar,low,9897
67,parmar,low,9412
68,parmar,low,9625
69,parmar,low,9361
70,parmar,low,8932
71,parmar,low,9236
72,parmar,low,9397
73,parmar,low,9189
74,parmar,low,8605
75,parmar,low,8246
76,parmar,low,7393
77,parmar,low,6963
78,parmar,low,6278
79,parmar,low,5217
80,parmar,low,4644
81,parmar,low,3861
82,parmar,low,3334
83,parmar,low,2832
84,parmar,low,1751
85,parmar,low,1668
86,parmar,low,1278
87,parmar,low,984
88,parmar,low,796
89,parmar,low,607
90,parmar,low,391
91,parmar,low,319
92,parmar,low,233
93,parmar,low,139
94,parmar,low,82
95,parmar,low,55
96,parmar,low,36
97,parmar,low,18
98,parmar,low,7
99,parmar,low,0
100,parmar,low,0
102,parmar,low,0
