ika,from,educ,n
21,parmar,high,27
22,parmar,high,735
23,parmar,high,2419
24,parmar,high,4206
25,parmar,high,5820
26,parmar,high,7432
27,parmar,high,8429
28,parmar,high,9732
29,parmar,high,10472
30,parmar,high,11440
31,parmar,high,11397
32,parmar,high,12161
33,parmar,high,12986
34,parmar,high,13726
35,parmar,high,14612
36,parmar,high,14583
37,parmar,high,14526
38,parmar,high,14341
39,parmar,high,14850
40,parmar,high,14764
41,parmar,high,15393
42,parmar,high,15188
43,parmar,high,14844
44,parmar,high,13918
45,parmar,high,12361
46,parmar,high,12529
47,parmar,high,12819
48,parmar,high,12875
49,parmar,high,12697
50,parmar,high,13516
51,parmar,high,13582
52,parmar,high,13349
53,parmar,high,12925
54,parmar,high,12920
55,parmar,high,12710
56,parmar,high,12123
57,parmar,high,11854
58,parmar,high,11485
59,parmar,high,11122
60,parmar,high,10380
61,parmar,high,10385
62,parmar,high,10313
63,parmar,high,9760
64,parmar,high,9345
65,parmar,high,8723
66,parmar,high,8118
67,parmar,high,7508
68,parmar,high,7208
69,parmar,high,7121
70,parmar,high,6875
71,parmar,high,6569
72,parmar,high,6224
73,parmar,high,5280
74,parmar,high,4009
75,parmar,high,3622
76,parmar,high,2681
77,parmar,high,3314
78,parmar,high,1959
79,parmar,high,2097
80,parmar,high,1568
81,parmar,high,1340
82,parmar,high,1101
83,parmar,high,869
84,parmar,high,667
85,parmar,high,536
86,parmar,high,464
87,parmar,high,364
88,parmar,high,267
89,parmar,high,187
90,parmar,high,121
91,parmar,high,100
92,parmar,high,54
93,parmar,high,34
94,parmar,high,32
95,parmar,high,8
96,parmar,high,7
97,parmar,high,0
98,parmar,high,0
99,parmar,high,0
101,parmar,high,0
21,parmar,mid,7546
22,parmar,mid,8512
23,parmar,mid,9048
24,parmar,mid,9236
25,parmar,mid,9042
26,parmar,mid,9478
27,parmar,mid,9669
28,parmar,mid,9739
29,parmar,mid,9419
30,parmar,mid,9343
31,parmar,mid,8720
32,parmar,mid,8956
33,parmar,mid,9187
34,parmar,mid,9569
35,parmar,mid,9693
36,parmar,mid,9397
37,parmar,mid,8805
38,parmar,mid,8732
39,parmar,mid,8509
40,parmar,mid,8284
41,parmar,mid,8152
42,parmar,mid,8239
43,parmar,mid,7836
44,parmar,mid,7668
45,parmar,mid,7019
46,parmar,mid,7202
47,parmar,mid,7478
48,parmar,mid,7937
49,parmar,mid,8196
50,parmar,mid,9030
51,parmar,mid,9497
52,parmar,mid,9752
53,parmar,mid,10019
54,parmar,mid,10358
55,parmar,mid,10719
56,parmar,mid,10692
57,parmar,mid,10768
58,parmar,mid,10720
59,parmar,mid,10536
60,parmar,mid,10018
61,parmar,mid,10391
62,parmar,mid,10584
63,parmar,mid,10516
64,parmar,mid,10599
65,parmar,mid,10144
66,parmar,mid,10302
67,parmar,mid,9414
68,parmar,mid,9600
69,parmar,mid,9197
70,parmar,mid,8765
71,parmar,mid,8204
72,parmar,mid,7524
73,parmar,mid,6172
74,parmar,mid,4550
75,parmar,mid,3986
76,parmar,mid,2977
77,parmar,mid,4022
78,parmar,mid,2628
79,parmar,mid,2818
80,parmar,mid,2258
81,parmar,mid,1769
82,parmar,mid,1458
83,parmar,mid,1227
84,parmar,mid,968
85,parmar,mid,671
86,parmar,mid,581
87,parmar,mid,444
88,parmar,mid,347
89,parmar,mid,235
90,parmar,mid,191
91,parmar,mid,124
92,parmar,mid,67
93,parmar,mid,47
94,parmar,mid,24
95,parmar,mid,14
96,parmar,mid,17
97,parmar,mid,0
98,parmar,mid,0
100,parmar,mid,0
101,parmar,mid,0
21,parmar,low,1289
22,parmar,low,1397
23,parmar,low,1543
24,parmar,low,1700
25,parmar,low,1846
26,parmar,low,2044
27,parmar,low,2141
28,parmar,low,2364
29,parmar,low,2348
30,parmar,low,2405
31,parmar,low,2204
32,parmar,low,2310
33,parmar,low,2358
34,parmar,low,2298
35,parmar,low,2245
36,parmar,low,2114
37,parmar,low,2054
38,parmar,low,1955
39,parmar,low,1789
40,parmar,low,1800
41,parmar,low,1701
42,parmar,low,1721
43,parmar,low,1660
44,parmar,low,1700
45,parmar,low,1587
46,parmar,low,1778
47,parmar,low,1797
48,parmar,low,1924
49,parmar,low,1913
50,parmar,low,1953
51,parmar,low,1866
52,parmar,low,1959
53,parmar,low,1996
54,parmar,low,2061
55,parmar,low,1993
56,parmar,low,1977
57,parmar,low,2206
58,parmar,low,2461
59,parmar,low,2810
60,parmar,low,2922
61,parmar,low,3487
62,parmar,low,3863
63,parmar,low,4212
64,parmar,low,4754
65,parmar,low,4953
66,parmar,low,5972
67,parmar,low,6098
68,parmar,low,6836
69,parmar,low,7356
70,parmar,low,8007
71,parmar,low,8299
72,parmar,low,8136
73,parmar,low,7290
74,parmar,low,5850
75,parmar,low,5585
76,parmar,low,4372
77,parmar,low,6363
78,parmar,low,4535
79,parmar,low,5240
80,parmar,low,4661
81,parmar,low,4104
82,parmar,low,3481
83,parmar,low,3194
84,parmar,low,2639
85,parmar,low,2148
86,parmar,low,1900
87,parmar,low,1526
88,parmar,low,1241
89,parmar,low,942
90,parmar,low,640
91,parmar,low,434
92,parmar,low,279
93,parmar,low,183
94,parmar,low,114
95,parmar,low,73
96,parmar,low,33
97,parmar,low,29
98,parmar,low,11
99,parmar,low,5
100,parmar,low,0
101,parmar,low,0
